Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
51,Central Florida,20,11,9,.550,5.19,3.09,2,6,7,4,2,4,1373,1331,,69.4,98.8,.292,.369,.513,49.9,55.4,8.9,8.6,.481,16.6,29.7,.206
52,Central Michigan,19,11,8,.579,-1.31,0.13,4,2,10,1,1,7,1563,1443,,76.9,107.0,.349,.372,.541,50.3,42.6,12.7,6.6,.504,14.3,29.4,.254
53,Charleston Southern,21,11,10,.524,-12.51,-5.14,5,4,6,4,5,5,1469,1525,,70.1,98.6,.275,.410,.530,46.6,53.4,9.1,6.7,.501,17.5,24.5,.197
54,Charlotte,20,12,8,.600,2.00,-2.40,6,3,10,1,2,7,1346,1258,,67.2,98.8,.399,.355,.558,50.8,50.0,11.7,11.1,.521,19.2,21.2,.286
55,Chattanooga,22,14,8,.636,-0.72,-2.42,5,4,8,1,4,7,1598,1486,,68.6,105.3,.270,.416,.549,51.8,56.0,6.9,4.0,.528,15.9,27.8,.183
56,Chicago State,22,4,18,.182,-29.33,-2.48,0,7,3,7,1,9,1405,1847,,72.4,88.2,.392,.341,.512,46.1,50.0,7.3,7.8,.466,22.1,23.9,.284
57,Cincinnati,20,13,7,.650,12.97,5.17,6,2,9,1,2,4,1453,1297,,69.8,102.2,.370,.356,.537,53.8,58.5,9.5,11.6,.505,17.9,32.1,.253
58,Citadel,20,6,14,.300,-12.06,-1.35,0,9,3,7,3,7,1569,1594,,77.4,99.5,.307,.466,.540,49.0,56.3,9.2,6.8,.511,17.9,25.7,.215
59,Clemson,20,11,9,.550,10.05,6.95,5,5,9,4,1,4,1368,1306,,67.4,99.6,.297,.461,.529,49.5,55.1,10.4,8.1,.504,16.2,24.4,.198
60,Cleveland State,23,9,14,.391,-11.22,-1.91,5,5,6,5,1,9,1466,1646,,69.8,91.3,.419,.230,.492,49.6,50.1,11.5,7.8,.447,20.0,32.1,.287
61,Coastal Carolina,22,11,11,.500,-0.33,-0.33,4,7,7,7,4,3,1715,1644,,74.3,104.8,.357,.361,.539,53.7,48.3,11.1,10.4,.507,18.5,36.2,.248
62,Colgate,22,16,6,.727,0.32,-3.63,7,2,9,1,6,5,1654,1532,,68.9,108.5,.219,.476,.560,50.1,52.6,7.8,7.2,.534,14.5,25.7,.169
63,College of Charleston,22,13,9,.591,2.42,-0.20,7,3,7,4,5,3,1573,1492,,67.8,105.5,.333,.388,.548,49.0,43.6,9.3,7.4,.506,14.6,25.1,.256
64,Colorado State,23,15,8,.652,7.45,4.32,6,4,9,3,3,4,1738,1644,,69.8,106.0,.377,.393,.567,51.3,58.6,9.6,5.1,.541,16.4,25.1,.255
65,Colorado,21,16,5,.762,17.12,7.41,5,3,10,2,2,3,1510,1306,,69.1,103.4,.389,.370,.546,54.4,57.2,9.2,8.2,.504,17.5,31.7,.287
66,Columbia,18,6,12,.333,-9.09,-4.97,1,1,5,1,0,10,1203,1243,,70.0,94.8,.240,.406,.505,49.1,51.5,7.7,9.5,.477,15.8,21.9,.171
67,Connecticut,20,11,9,.550,9.50,3.45,2,5,9,3,0,4,1423,1302,,68.9,100.1,.342,.352,.512,51.3,52.4,9.2,17.0,.471,16.7,32.4,.248
68,Coppin State,22,6,16,.273,-13.03,-4.76,2,5,3,4,3,12,1487,1669,,75.0,89.6,.304,.478,.478,47.3,40.4,8.9,7.0,.452,16.7,24.3,.189
69,Cornell,15,4,11,.267,-9.33,-2.94,1,1,4,2,0,9,1002,1016,,66.7,99.3,.267,.417,.511,49.7,60.7,10.0,8.6,.483,15.1,28.4,.186
70,Creighton,21,16,5,.762,14.48,7.33,5,3,12,1,3,3,1629,1449,,70.3,109.8,.317,.420,.570,49.0,54.2,9.1,5.7,.540,14.0,24.2,.232
71,Dartmouth,17,7,10,.412,-4.47,-3.66,0,2,3,3,3,6,1137,1101,,67.8,97.3,.282,.415,.527,51.3,51.8,6.9,7.5,.505,16.5,21.7,.185
72,Davidson,20,10,10,.500,6.45,2.95,4,4,6,1,3,5,1435,1365,,65.5,106.2,.275,.451,.553,49.0,51.7,8.7,7.7,.521,14.5,24.3,.209
73,Dayton,21,19,2,.905,20.11,3.49,8,0,11,0,5,0,1737,1388,,69.3,117.2,.305,.398,.623,52.3,61.0,9.0,9.9,.603,16.4,27.8,.221
74,Delaware State,19,2,17,.105,-22.76,-5.47,1,4,2,7,0,9,1333,1592,,77.0,91.1,.328,.389,.491,46.1,43.3,9.8,5.3,.455,18.4,25.8,.224
75,Delaware,22,15,7,.682,-2.33,-4.42,5,4,6,2,5,4,1625,1535,,69.0,106.3,.282,.381,.577,50.0,48.1,7.9,9.1,.548,16.7,22.9,.211
76,Denver,23,5,18,.217,-10.65,-1.93,1,8,4,7,0,10,1566,1741,,71.4,94.8,.382,.282,.524,48.0,44.8,8.1,6.8,.489,17.4,19.5,.262
77,DePaul,21,13,8,.619,9.97,5.97,1,7,9,5,4,3,1546,1437,,72.3,100.6,.362,.315,.528,51.3,52.7,11.9,16.4,.499,17.8,31.5,.239
78,Detroit Mercy,22,6,16,.273,-8.61,-0.79,4,5,4,4,1,11,1519,1691,,70.9,97.4,.307,.460,.506,49.1,47.3,8.3,9.3,.458,16.7,29.5,.244
79,Drake,22,15,7,.682,1.25,-0.75,5,4,11,0,2,6,1543,1440,,69.0,101.6,.275,.391,.553,51.8,61.3,8.4,10.7,.529,17.2,23.7,.193
80,Drexel,22,12,10,.545,-4.11,-1.97,5,4,9,2,1,8,1511,1523,,68.8,99.2,.312,.376,.535,52.3,58.6,8.5,7.3,.504,19.7,31.5,.221
81,Duke,20,17,3,.850,25.80,7.15,7,2,10,2,4,1,1654,1281,,72.5,113.3,.331,.324,.567,55.1,54.1,12.3,14.9,.544,15.4,36.6,.223
82,Duquesne,20,15,5,.750,7.31,-0.15,5,3,8,1,2,2,1413,1264,,67.9,103.4,.325,.424,.544,51.4,55.3,10.3,16.1,.509,16.6,29.2,.238
83,East Carolina,21,9,12,.429,-3.20,-0.82,3,5,8,4,0,6,1446,1496,,71.1,96.9,.389,.348,.511,51.0,59.0,9.2,10.0,.467,16.9,28.6,.277
84,East Tennessee State,22,18,4,.818,6.70,-1.04,7,2,12,1,6,3,1673,1372,,68.8,110.6,.369,.395,.559,53.2,51.9,13.0,11.8,.533,15.1,33.4,.248
85,Eastern Illinois,21,11,10,.524,-4.48,-7.48,4,5,7,0,3,9,1585,1435,,71.9,105.0,.320,.315,.539,51.4,49.7,10.9,12.1,.512,15.5,30.6,.218
86,Eastern Kentucky,22,10,12,.455,-11.82,-3.97,7,2,7,3,3,7,1662,1697,,76.9,98.3,.309,.412,.512,45.1,48.5,12.3,5.7,.475,16.1,26.5,.224
87,Eastern Michigan,20,10,10,.500,-5.75,1.00,0,7,6,3,2,7,1301,1267,,69.6,93.5,.426,.385,.504,49.3,45.1,15.7,11.6,.470,19.4,28.1,.272
88,Eastern Washington,19,13,6,.684,-0.03,-0.62,6,2,8,1,5,5,1585,1436,,76.3,107.9,.291,.407,.556,50.2,58.1,10.1,10.0,.535,14.9,27.8,.195
89,Elon,23,6,17,.261,-10.64,-1.49,2,8,6,7,0,10,1568,1673,,68.6,98.8,.267,.479,.521,48.7,57.5,7.3,5.7,.490,15.5,23.6,.194
90,Evansville,22,9,13,.409,-7.66,-0.76,0,9,5,5,3,6,1523,1650,,69.0,97.6,.342,.431,.532,47.1,51.7,6.5,5.3,.496,16.9,20.9,.246
91,Fairfield,19,8,11,.421,-6.71,-4.40,4,4,3,4,4,5,1163,1207,,64.3,93.3,.317,.299,.497,52.6,44.5,8.1,8.9,.462,18.6,30.1,.220
92,Fairleigh Dickinson,20,5,15,.250,-12.83,-4.20,3,6,3,3,2,12,1391,1506,,68.6,100.2,.279,.347,.525,47.0,42.7,8.7,9.6,.494,16.3,27.4,.200
93,Florida A&M,19,6,13,.316,-12.03,-2.13,4,4,3,0,3,11,1224,1412,,71.4,89.7,.338,.227,.475,47.1,39.8,10.5,5.1,.444,18.5,29.1,.215
94,Florida Atlantic,22,13,9,.591,-2.08,-2.19,5,4,11,2,2,7,1568,1501,,69.9,100.9,.281,.430,.527,52.0,48.2,9.9,5.9,.500,16.5,29.5,.195
95,Florida Gulf Coast,23,7,16,.304,-11.23,-3.33,4,4,5,7,2,9,1423,1553,,68.0,90.1,.248,.417,.495,49.0,57.3,9.2,11.7,.468,20.6,29.0,.171
96,Florida International,22,14,8,.636,-0.75,-2.80,5,4,9,1,4,6,1746,1626,,75.8,104.1,.311,.429,.558,47.0,54.5,12.3,16.2,.536,17.6,27.2,.207
97,Florida State,20,17,3,.850,15.82,5.27,7,2,10,0,4,3,1500,1289,,69.4,106.8,.296,.362,.557,49.9,50.0,13.9,17.3,.522,16.4,31.3,.227
98,Florida,20,12,8,.600,14.42,8.42,4,3,7,3,1,4,1464,1344,,67.8,106.7,.360,.355,.546,52.4,45.2,9.0,11.2,.509,15.1,32.1,.259
99,Fordham,20,7,13,.350,-5.09,-2.74,1,7,6,7,0,4,1166,1213,,64.5,88.7,.284,.416,.471,47.1,55.7,11.6,9.7,.448,17.0,24.0,.174
100,Fresno State,21,7,14,.333,1.77,3.47,3,7,4,5,3,8,1433,1422,,64.9,102.7,.298,.478,.523,52.3,50.2,7.9,11.2,.490,16.3,31.6,.213
101,Furman,23,18,5,.783,7.09,-1.41,8,2,10,1,7,4,1788,1526,,69.7,110.2,.279,.465,.580,48.7,54.0,11.5,8.3,.559,15.0,24.6,.195
102,Gardner-Webb,20,8,12,.400,-7.61,-3.05,4,4,3,4,3,8,1406,1450,,67.8,100.0,.357,.386,.524,49.6,55.9,9.0,13.0,.490,16.5,28.2,.245
103,George Mason,21,13,8,.619,0.85,0.33,2,6,9,4,1,4,1433,1422,,67.8,100.0,.331,.342,.505,51.4,45.2,9.6,13.9,.468,15.5,32.1,.233
104,George Washington,21,10,11,.476,-1.87,-2.10,4,4,7,5,1,5,1453,1448,,66.7,101.3,.325,.422,.533,48.7,52.2,7.9,11.0,.498,15.4,24.5,.236
105,Georgetown,21,12,9,.571,11.97,7.73,2,6,9,4,2,4,1623,1534,,72.8,106.1,.346,.289,.542,53.7,56.8,8.8,12.8,.500,16.2,33.7,.263
106,Georgia Southern,22,13,9,.591,0.93,-1.13,7,4,9,1,3,7,1683,1558,,73.8,103.7,.329,.429,.533,48.0,46.9,11.2,11.8,.503,14.9,26.8,.228
107,Georgia State,22,15,7,.682,5.55,0.90,8,3,9,0,5,7,1739,1547,,74.0,105.5,.310,.367,.546,49.7,52.8,11.7,11.5,.515,16.5,32.2,.222
108,Georgia Tech,21,10,11,.476,8.80,8.95,4,6,5,6,4,4,1423,1398,,71.3,93.9,.318,.305,.520,50.6,53.5,10.3,12.2,.493,20.1,27.7,.211
109,Georgia,20,11,9,.550,8.14,6.56,1,6,9,2,2,5,1527,1494,,72.6,103.9,.339,.369,.535,51.5,51.0,10.3,8.5,.505,17.1,33.3,.232
110,Gonzaga,23,22,1,.957,23.41,1.19,8,0,13,0,7,0,2044,1533,,73.4,120.4,.385,.332,.593,56.7,55.5,10.7,10.7,.571,12.7,34.4,.259
111,Grambling,20,9,11,.450,-12.69,-4.75,3,4,6,2,3,8,1454,1416,,73.3,99.1,.331,.278,.522,53.1,48.4,10.0,11.2,.493,17.3,30.7,.221
112,Grand Canyon,21,9,12,.429,-4.99,-2.84,4,3,5,6,3,3,1453,1505,,68.4,100.6,.340,.326,.534,48.7,47.8,7.3,3.7,.491,15.4,23.4,.259
113,Green Bay,22,10,12,.455,-5.93,-1.58,5,4,6,4,4,8,1802,1776,,75.6,107.7,.288,.343,.559,47.6,57.9,9.7,7.9,.527,14.6,25.7,.217
114,Hampton,20,9,11,.450,-13.36,-3.24,4,3,8,3,1,8,1564,1601,,73.3,106.1,.418,.303,.547,48.9,54.2,7.5,11.3,.514,15.3,29.5,.283
115,Hartford,22,12,10,.545,-7.68,-5.73,5,2,7,5,5,5,1465,1482,,70.3,94.7,.309,.407,.519,46.7,55.3,10.9,7.1,.487,17.9,21.7,.216
116,Harvard,17,13,4,.765,3.98,-1.03,2,0,6,0,6,1,1250,1113,,69.8,104.5,.349,.381,.559,53.1,46.5,9.9,14.2,.527,18.3,30.3,.250
117,Hawaii,19,13,6,.684,1.78,-0.50,4,1,12,3,1,3,1346,1288,,69.9,101.4,.332,.391,.538,51.6,58.0,7.5,5.9,.507,17.1,28.8,.230
118,High Point,22,6,16,.273,-17.57,-3.47,3,6,3,7,3,9,1425,1664,,67.6,94.8,.387,.372,.498,52.2,55.5,7.3,11.8,.451,18.8,33.8,.276
119,Hofstra,23,16,7,.696,0.38,-4.39,7,3,6,3,8,4,1757,1610,,70.5,108.3,.330,.364,.550,50.4,45.8,10.0,4.8,.509,14.4,29.9,.255
120,Holy Cross,22,3,19,.136,-16.79,-3.65,2,7,2,7,0,11,1492,1771,,69.0,96.6,.248,.384,.527,48.2,49.3,6.8,6.7,.506,18.5,26.0,.165
121,Houston Baptist,18,1,17,.056,-18.92,-0.58,1,8,1,5,0,11,1475,1805,,79.6,102.2,.374,.340,.538,48.4,45.5,6.7,4.6,.500,17.6,32.1,.269
122,Houston,21,17,4,.810,14.85,4.27,7,1,9,2,5,2,1556,1334,,67.9,109.1,.371,.329,.527,56.8,51.5,7.3,16.2,.487,14.6,38.8,.265
123,Howard,22,2,20,.091,-21.27,-4.62,0,7,1,10,1,9,1533,1811,,71.7,96.1,.301,.359,.503,45.0,51.8,8.4,7.9,.470,16.1,26.7,.208
124,Idaho State,19,6,13,.316,-8.45,-1.16,3,7,4,5,2,8,1297,1330,,66.9,100.8,.359,.352,.537,52.0,51.7,7.1,6.0,.516,18.4,31.4,.227
125,Idaho,19,5,14,.263,-10.64,-2.23,1,7,4,6,0,7,1249,1336,,69.8,93.6,.295,.264,.507,50.1,49.0,8.0,6.9,.478,17.2,23.7,.200
126,Illinois-Chicago,23,10,13,.435,-6.03,-2.53,5,5,6,5,3,8,1567,1641,,70.0,96.8,.286,.403,.533,49.5,58.6,7.8,11.0,.508,19.8,26.8,.196
127,Illinois State,21,7,14,.333,-2.50,2.15,2,7,7,4,0,7,1388,1462,,68.5,96.5,.240,.392,.519,48.8,51.0,8.2,7.4,.498,17.8,26.4,.161
128,Illinois,21,16,5,.762,16.24,7.54,8,2,12,1,4,3,1567,1341,,68.6,108.1,.348,.295,.542,56.8,51.1,6.7,7.7,.504,15.7,36.9,.256
129,Incarnate Word,20,5,15,.250,-20.86,-6.03,2,7,4,6,1,9,1310,1476,,70.1,92.9,.297,.342,.495,47.1,52.9,10.1,6.6,.458,18.4,28.8,.213
130,Indiana State,20,12,8,.600,3.74,2.01,5,4,9,0,1,6,1390,1350,,66.9,103.2,.346,.346,.552,49.8,52.4,8.8,9.8,.523,15.8,24.1,.238
131,Indiana,21,15,6,.714,14.93,7.93,5,5,12,2,1,4,1543,1396,,69.5,105.1,.424,.295,.535,55.9,51.5,8.1,13.1,.498,16.3,34.4,.289
132,Iona,15,5,10,.333,-9.40,-4.66,3,5,2,4,1,5,1040,1111,,70.2,97.2,.312,.460,.535,48.3,54.4,11.4,11.1,.499,19.1,25.2,.229
133,Iowa State,20,9,11,.450,10.73,7.88,2,5,8,4,0,5,1501,1444,,71.7,104.1,.282,.394,.536,49.1,56.5,10.7,11.5,.504,15.1,28.9,.207
134,Iowa,21,15,6,.714,17.06,8.30,6,4,10,1,3,3,1663,1479,,71.2,111.2,.348,.373,.552,53.0,64.5,8.8,10.5,.514,14.3,33.2,.258
135,Purdue-Fort Wayne,23,10,13,.435,-8.24,-2.94,3,5,8,3,2,10,1606,1631,,69.6,100.4,.233,.439,.526,52.1,49.2,9.9,8.5,.505,17.3,30.0,.157
136,IUPUI,23,6,17,.261,-14.22,-3.22,2,8,3,6,3,9,1590,1784,,71.8,95.7,.323,.380,.502,48.7,54.2,9.2,7.3,.476,17.6,29.6,.207
137,Jackson State,20,6,14,.300,-13.49,-2.77,3,4,4,3,2,11,1313,1441,,71.3,92.1,.297,.314,.482,46.1,47.1,11.9,11.1,.448,16.0,25.8,.203
138,Jacksonville State,22,9,13,.409,-7.52,-5.27,4,5,5,5,3,7,1597,1508,,71.0,101.6,.282,.378,.535,52.2,52.5,9.2,7.2,.511,17.5,29.7,.193
139,Jacksonville,23,10,13,.435,-6.10,-5.14,3,5,4,5,5,6,1517,1505,,67.7,95.9,.315,.381,.509,52.4,48.0,7.4,6.3,.480,17.8,27.9,.209
140,James Madison,21,8,13,.381,-8.86,-2.56,1,9,5,6,3,7,1546,1624,,74.6,98.7,.390,.416,.513,50.2,50.0,8.0,9.1,.482,15.6,26.0,.252
141,Kansas State,20,9,11,.450,8.70,6.55,2,5,8,3,1,4,1311,1268,,67.7,96.2,.335,.400,.511,49.1,58.8,12.7,8.2,.483,18.3,29.5,.220
142,Kansas,20,17,3,.850,25.90,11.12,6,1,8,1,6,1,1519,1208,,68.6,110.1,.351,.343,.570,54.4,53.6,11.7,14.6,.549,16.3,32.3,.232
143,Kennesaw State,21,1,20,.048,-22.26,-2.02,0,8,1,6,0,12,1183,1608,,69.4,81.1,.343,.301,.441,47.1,41.2,7.5,5.4,.392,19.7,27.7,.241
144,Kent State,21,15,6,.714,5.25,-1.44,5,3,9,1,5,3,1644,1448,,70.8,109.3,.274,.409,.560,50.3,50.3,10.4,12.3,.531,14.6,29.9,.202
145,Kentucky,20,16,4,.800,15.45,5.00,6,1,12,1,3,1,1509,1300,,69.9,106.6,.419,.263,.556,54.5,55.6,7.5,13.7,.505,16.1,31.5,.324
146,La Salle,20,10,10,.500,0.17,1.32,1,7,5,5,2,5,1378,1401,,70.6,95.8,.312,.414,.515,49.9,54.4,11.1,10.1,.488,18.8,29.2,.207
147,Lafayette,20,13,7,.650,-3.77,-5.56,5,4,6,3,7,4,1461,1387,,68.1,107.3,.232,.454,.581,50.6,61.2,6.5,10.1,.558,16.7,22.8,.173
148,Lamar,21,10,11,.476,-8.06,-5.11,4,6,6,4,4,7,1485,1430,,71.7,97.4,.331,.288,.514,49.3,50.6,13.4,13.9,.482,18.8,32.1,.225
