School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp.,School Totals MP,School Totals FG,School Totals FGA,School Totals FG%,School Totals 3P,School Totals 3PA,School Totals 3P%,School Totals FT,School Totals FTA,School Totals FT%,School Totals ORB,School Totals TRB,School Totals AST,School Totals STL,School Totals BLK,School Totals TOV,School Totals PF
Missouri,20,10,10,.500,8.51,4.56,2,5,8,3,1,5,1331,1252,805,451,1093,.413,146,469,.311,283,366,.773,207,687,233,148,57,285,394
Monmouth,20,12,8,.600,-5.26,-4.61,6,3,7,0,4,7,1398,1411,800,479,1172,.409,152,420,.362,288,393,.733,183,677,265,158,53,264,399
Montana State,20,11,9,.550,-3.94,-1.94,5,4,5,3,4,6,1351,1318,800,478,1074,.445,119,368,.323,276,367,.752,140,706,224,119,43,279,347
Montana,21,11,10,.524,-1.18,0.08,7,3,8,1,3,9,1455,1467,850,556,1224,.454,114,339,.336,229,321,.713,145,675,252,131,79,266,419
Morehead State,22,10,12,.455,-10.68,-6.58,4,5,9,2,1,10,1538,1516,890,579,1314,.441,130,425,.306,250,387,.646,234,824,308,145,98,274,348
Morgan State,23,11,12,.478,-12.49,-6.84,5,3,6,3,5,6,1623,1649,935,572,1363,.420,123,439,.280,356,509,.699,297,896,261,127,93,368,532
Mount St. Mary's,21,9,12,.429,-7.16,-5.76,5,3,7,3,2,9,1345,1356,855,473,1186,.399,137,459,.298,262,383,.684,234,767,222,109,72,249,340
Murray State,21,16,5,.762,1.74,-6.79,9,0,11,0,4,3,1633,1370,850,572,1174,.487,140,383,.366,349,487,.717,204,799,320,112,76,282,376
Navy,20,12,8,.600,-4.94,-5.94,6,3,8,3,4,5,1285,1235,815,443,1062,.417,141,432,.326,258,371,.695,230,726,237,104,27,251,296
Omaha,22,12,10,.545,-4.14,-0.10,5,2,10,0,2,9,1610,1676,890,606,1335,.454,140,401,.349,258,367,.703,217,796,279,112,73,282,370
Nebraska,21,7,14,.333,4.07,7.35,2,8,5,6,0,7,1514,1583,860,546,1304,.419,180,532,.338,242,403,.600,183,739,304,134,52,234,310
Nevada-Las Vegas,22,11,11,.500,4.98,3.11,6,3,9,5,2,5,1576,1535,910,543,1258,.432,160,509,.314,330,459,.719,286,866,279,124,64,316,438
Nevada,22,13,9,.591,8.83,4.69,6,4,9,2,1,6,1676,1585,880,584,1329,.439,225,572,.393,281,374,.751,191,827,332,110,82,260,436
New Hampshire,20,10,10,.500,-8.80,-6.08,3,4,7,2,3,8,1384,1315,810,505,1226,.412,171,518,.330,203,316,.642,233,851,270,98,43,290,355
New Mexico State,22,16,6,.727,2.95,-2.30,7,0,8,1,5,3,1558,1333,885,550,1207,.456,199,567,.351,259,373,.694,234,769,319,141,42,311,356
New Mexico,23,16,7,.696,3.07,0.80,5,5,13,1,2,5,1817,1746,920,640,1317,.486,143,435,.329,394,549,.718,220,826,353,182,69,345,353
New Orleans,21,6,15,.286,-13.39,-1.39,2,9,5,6,1,9,1593,1615,840,566,1235,.458,111,337,.329,350,459,.763,204,668,319,175,47,296,399
Niagara,19,6,13,.316,-10.43,-2.16,4,4,4,2,2,11,1265,1422,765,467,1091,.428,145,404,.359,186,247,.753,124,524,240,126,47,203,299
Nicholls State,22,14,8,.636,-3.71,-3.88,8,3,8,1,5,6,1683,1494,890,617,1424,.433,175,540,.324,274,364,.753,258,786,278,234,81,312,421
NJIT,21,7,14,.333,-10.22,-4.72,4,4,4,4,3,10,1356,1438,840,494,1203,.411,131,412,.318,237,350,.677,194,702,235,117,53,238,346
Norfolk State,21,10,11,.476,-6.56,-5.79,6,0,7,2,2,8,1474,1357,845,518,1217,.426,156,473,.330,282,398,.709,240,773,276,162,42,300,397
North Alabama,21,10,11,.476,-8.30,-4.93,5,3,7,2,3,9,1434,1439,840,488,1148,.425,146,436,.335,312,448,.696,196,746,232,135,53,322,411
North Carolina-Asheville,20,9,11,.450,-8.52,-7.47,3,6,5,5,4,6,1527,1480,805,560,1231,.455,174,489,.356,233,357,.653,188,615,227,178,45,235,392
North Carolina A&T,22,10,12,.455,-9.63,-4.44,6,1,6,1,3,9,1553,1600,890,553,1322,.418,128,420,.305,319,518,.616,247,851,301,183,81,338,456
North Carolina Central,20,8,12,.400,-11.29,-5.05,4,2,6,0,2,12,1348,1304,805,501,1108,.452,107,366,.292,239,360,.664,194,667,265,189,61,326,381
North Carolina-Greensboro,22,17,5,.773,7.90,-1.00,7,2,10,3,7,2,1614,1306,890,603,1396,.432,190,602,.316,218,341,.639,289,816,274,216,87,258,400
North Carolina State,21,14,7,.667,11.08,4.70,5,5,11,2,3,4,1570,1436,845,582,1299,.448,150,470,.319,256,362,.707,224,764,284,158,96,237,375
North Carolina-Wilmington,23,7,16,.304,-10.32,-0.27,2,8,5,6,1,9,1603,1668,930,575,1333,.431,162,462,.351,291,413,.705,207,793,287,141,70,300,379
North Carolina,20,10,10,.500,8.83,8.03,3,6,5,5,2,4,1431,1415,815,522,1255,.416,113,377,.300,272,417,.652,280,871,295,115,78,262,323
North Dakota State,22,15,7,.682,0.55,-3.85,6,2,9,1,5,5,1609,1427,880,554,1250,.443,198,576,.344,303,387,.783,172,781,270,111,52,222,340
North Dakota,23,10,13,.435,-6.60,-1.30,4,5,6,1,3,11,1738,1695,920,602,1307,.461,181,526,.344,353,453,.779,209,847,306,106,53,319,393
North Florida,23,13,10,.565,-1.81,-0.90,6,2,8,1,4,8,1779,1714,920,614,1394,.440,278,733,.379,273,360,.758,236,812,351,116,78,298,376
North Texas,22,14,8,.636,8.79,2.54,8,1,10,2,4,4,1567,1365,880,559,1173,.477,185,476,.389,264,355,.744,201,733,277,153,58,307,389
Northeastern,22,11,11,.500,2.32,-3.59,5,5,4,5,6,4,1596,1466,885,580,1212,.479,195,491,.397,241,305,.790,151,684,292,170,38,269,377
Northern Arizona,18,11,7,.611,-2.70,-1.39,5,4,6,2,4,5,1301,1212,720,470,1038,.453,142,370,.384,219,313,.700,177,617,246,126,39,223,301
Northern Colorado,20,13,7,.650,4.41,-2.48,6,3,8,1,3,5,1486,1251,810,524,1177,.445,209,563,.371,229,335,.684,185,712,258,109,49,204,301
Northern Illinois,21,12,9,.571,-2.31,-2.86,5,3,7,3,5,6,1410,1351,840,507,1242,.408,157,462,.340,239,353,.677,256,840,218,119,55,258,364
Northern Iowa,21,18,3,.857,11.94,2.73,7,2,12,0,5,2,1622,1366,850,580,1186,.489,206,519,.397,256,335,.764,194,784,261,95,43,271,310
Northern Kentucky,21,14,7,.667,1.32,-3.42,6,3,8,2,6,5,1550,1380,850,549,1221,.450,182,563,.323,270,395,.684,226,767,305,169,44,286,382
Northwestern State,19,8,11,.421,-12.58,-5.08,5,5,5,3,3,8,1380,1426,765,486,1127,.431,142,429,.331,266,362,.735,210,753,250,105,94,335,388
Northwestern,20,6,14,.300,5.58,8.23,1,9,4,7,1,6,1310,1363,800,476,1135,.419,124,394,.315,234,310,.755,163,679,274,90,53,223,331
Notre Dame,20,12,8,.600,10.91,2.96,3,6,10,3,2,4,1532,1373,805,545,1275,.427,201,576,.349,241,330,.730,219,776,350,122,82,196,250
Oakland,22,7,15,.318,-6.67,-1.10,2,7,3,5,2,8,1424,1513,890,499,1195,.418,130,444,.293,296,435,.680,224,790,298,136,64,314,346
Ohio State,20,13,7,.650,18.95,7.35,3,6,9,2,2,4,1461,1229,800,494,1087,.454,175,458,.382,298,413,.722,202,759,283,94,79,273,356
Ohio,21,10,11,.476,-2.31,-0.21,2,6,6,5,3,4,1497,1460,840,547,1215,.450,179,511,.350,224,338,.663,214,744,310,127,53,273,355
Oklahoma State,20,10,10,.500,10.37,8.82,0,7,5,6,3,3,1332,1301,800,469,1157,.405,128,424,.302,266,370,.719,210,730,236,147,76,260,342
Oklahoma,20,13,7,.650,11.35,8.20,3,4,8,1,2,5,1418,1355,800,497,1185,.419,144,452,.319,280,368,.761,161,738,238,128,79,212,264
Old Dominion,22,9,13,.409,0.15,0.24,5,4,7,3,2,7,1398,1400,880,523,1302,.402,114,412,.277,238,341,.698,258,856,217,160,70,271,378
Oral Roberts,21,11,10,.524,1.67,0.37,4,4,8,1,3,9,1651,1510,840,592,1348,.439,170,529,.321,297,399,.744,272,819,264,131,48,232,343
Oregon State,21,13,8,.619,8.98,3.08,3,6,8,3,3,4,1557,1433,840,543,1156,.470,123,378,.325,348,472,.737,187,702,311,135,117,239,344
