,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
75,DePaul,32,11,21,.344,1.71,5.61,2,16,7,10,4,8,2284,2409,,71.4,104.2,.362,.255,.547,55.7,53.2,11.2,10.2,.515,18.4,40.1,.251
76,Detroit Mercy,33,20,13,.606,6.71,1.62,12,4,13,2,7,10,2568,2340,,70.1,101.1,.352,.337,.559,52.7,51.7,7.5,9.6,.527,20.5,34.0,.250
77,Drake,32,15,17,.469,3.43,5.14,7,11,9,6,4,7,2296,2319,,68.5,104.6,.387,.356,.553,54.2,56.4,11.0,10.3,.509,16.6,31.3,.291
78,Drexel,31,13,18,.419,-1.08,-0.98,9,9,5,8,7,7,1953,1956,,61.4,100.8,.434,.310,.534,49.4,48.1,9.1,9.5,.487,16.6,28.6,.314
79,Duke NCAA,36,30,6,.833,21.43,9.54,14,4,16,0,5,4,2778,2350,,68.2,95.7,.327,.269,.496,52.7,40.0,7.3,8.1,.455,17.5,34.7,.237
80,Duquesne,30,8,22,.267,-4.54,3.50,1,15,6,9,2,12,2028,2269,,69.4,108.2,.328,.345,.541,54.1,58.8,10.3,11.3,.515,14.8,36.9,.222
81,East Carolina,35,23,12,.657,2.56,0.81,9,7,17,4,6,7,2679,2484,,70.0,100.4,.315,.269,.504,53.2,58.7,9.0,9.3,.475,16.2,37.3,.211
82,East Tennessee State,32,10,22,.313,-13.15,-2.25,8,10,5,8,5,10,1994,2284,,66.1,107.5,.324,.431,.562,56.7,65.4,10.9,9.9,.537,18.3,38.2,.222
83,Eastern Illinois,32,11,21,.344,-8.93,-5.09,6,10,5,9,4,11,1933,2055,,60.7,105.4,.379,.404,.568,53.0,61.4,10.1,12.1,.540,18.9,33.3,.261
84,Eastern Kentucky,35,25,10,.714,1.66,-3.92,12,4,15,1,9,8,2586,2303,,65.6,99.5,.434,.341,.551,56.9,58.9,9.7,10.8,.506,22.7,40.5,.318
85,Eastern Michigan,34,16,18,.471,-6.25,-1.25,7,9,13,5,2,12,1926,2011,,61.0,96.5,.357,.441,.495,53.6,72.8,12.3,6.6,.463,19.3,41.0,.234
86,Eastern Washington,31,10,21,.323,-10.77,-5.48,7,13,7,7,2,13,2146,2310,,68.4,107.2,.362,.286,.518,54.8,61.2,10.5,11.8,.481,13.3,38.1,.254
87,Elon,33,21,12,.636,-3.58,-5.19,13,5,12,3,8,8,2273,2144,,66.7,96.3,.358,.304,.502,53.4,48.9,9.6,6.3,.464,17.1,32.0,.248
88,Evansville,36,21,15,.583,5.26,2.91,10,8,15,3,5,11,2490,2374,,65.7,99.3,.352,.331,.537,52.8,54.7,8.6,9.0,.506,19.0,32.5,.242
89,Fairfield,35,19,16,.543,-0.55,-2.00,9,9,7,5,7,10,2122,2071,,62.0,94.7,.456,.243,.495,51.9,42.6,11.3,10.5,.444,18.5,35.8,.316
90,Fairleigh Dickinson,31,7,24,.226,-18.00,-4.65,2,16,2,10,3,14,2034,2448,,69.1,113.3,.357,.323,.556,58.8,58.8,12.2,8.2,.526,14.6,42.9,.248
91,Florida A&M,31,8,23,.258,-16.14,-6.21,5,11,6,4,1,17,2015,2235,,70.2,101.1,.412,.294,.533,56.8,53.0,10.6,10.2,.499,19.4,42.6,.276
92,Florida Atlantic,32,14,18,.438,-5.88,-2.49,9,11,11,4,3,13,2092,2164,,66.3,100.5,.362,.287,.493,52.0,46.0,11.2,10.1,.454,14.4,37.1,.248
93,Florida Gulf Coast NCAA,37,26,11,.703,2.76,-2.07,13,5,15,1,6,9,2696,2469,,69.5,95.0,.332,.379,.500,51.7,55.8,10.3,8.3,.465,19.0,35.4,.228
94,Florida International,32,18,14,.563,-2.08,-2.11,11,9,10,3,6,10,2210,2209,,69.6,99.2,.371,.367,.541,55.3,58.8,9.5,11.2,.511,21.8,39.8,.250
95,Florida State,34,18,16,.529,5.67,7.23,9,9,10,8,3,7,2278,2331,,66.3,103.4,.348,.324,.530,54.4,53.7,10.8,8.6,.497,17.5,40.0,.241
96,Florida NCAA,37,29,8,.784,23.86,6.83,14,4,15,0,7,5,2642,2012,,62.9,86.4,.299,.328,.464,48.6,50.9,9.3,7.9,.433,19.4,31.0,.195
97,Fordham,31,7,24,.226,-6.90,4.59,3,13,4,7,1,15,1997,2353,,68.8,110.3,.448,.351,.550,50.6,58.8,11.6,9.7,.510,13.9,35.0,.313
98,Fresno State,30,11,19,.367,3.31,6.56,5,11,6,8,5,10,1798,1829,,62.1,97.3,.471,.305,.503,55.5,52.0,7.7,10.8,.456,18.0,38.1,.318
99,Furman,31,7,24,.226,-17.46,-5.29,3,15,5,9,1,14,1869,2180,,64.7,108.7,.294,.306,.547,54.9,57.4,11.4,7.5,.519,15.2,36.8,.209
100,Gardner-Webb,34,21,13,.618,-3.22,-5.93,11,5,12,3,6,9,2236,2066,,64.3,92.9,.343,.326,.505,50.1,51.0,10.4,7.6,.477,20.6,34.1,.221
101,George Mason,38,22,16,.579,2.01,-0.17,10,8,10,7,8,6,2587,2504,,65.8,99.1,.445,.359,.519,51.8,53.5,8.8,9.0,.473,18.6,37.5,.312
102,George Washington,30,13,17,.433,4.22,3.49,7,9,7,7,5,9,1988,1966,,68.1,95.9,.327,.292,.508,48.7,49.5,13.9,9.9,.474,18.4,34.1,.227
103,Georgetown NCAA,32,25,7,.781,15.84,7.59,14,4,16,1,6,3,2070,1806,,62.4,89.0,.353,.340,.469,51.6,56.7,10.0,9.6,.430,19.1,34.1,.235
104,Georgia Southern,33,14,19,.424,-9.67,-5.02,7,11,7,6,5,11,2050,2148,,63.1,102.0,.375,.340,.529,53.7,50.5,10.2,8.7,.493,17.8,37.1,.260
105,Georgia State,31,15,16,.484,-2.04,-2.40,10,8,9,7,6,9,2114,2075,,64.1,103.1,.366,.401,.544,53.8,60.0,8.2,11.4,.509,18.1,35.3,.258
106,Georgia Tech,31,16,15,.516,6.60,4.67,6,12,11,6,3,7,1993,1933,,66.3,93.7,.330,.328,.487,49.9,55.7,9.3,10.5,.454,16.5,30.6,.220
107,Georgia,32,15,17,.469,5.31,6.09,9,9,12,6,3,8,1946,1971,,62.4,97.1,.379,.375,.490,50.2,49.0,12.0,9.7,.450,15.7,33.0,.258
108,Gonzaga NCAA,35,32,3,.914,20.47,4.18,16,0,15,1,10,1,2696,2095,,65.3,91.7,.294,.387,.482,46.7,47.6,9.5,8.5,.449,18.1,32.2,.200
109,Grambling,28,0,28,.000,-35.85,-9.17,0,18,0,9,0,18,1391,2138,,65.6,116.3,.349,.335,.545,60.5,56.5,15.5,10.7,.522,12.1,47.1,.226
110,Green Bay,34,18,16,.529,1.67,-0.27,10,6,12,3,4,12,2247,2142,,64.1,97.5,.332,.356,.513,48.7,55.5,11.2,8.2,.472,16.1,29.1,.245
111,Hampton,31,14,17,.452,-9.35,-7.84,11,5,7,7,7,8,1936,1983,,68.9,91.3,.425,.318,.480,51.0,49.9,10.1,10.6,.438,19.0,35.4,.277
112,Hartford,31,17,14,.548,-5.84,-4.71,10,6,10,5,7,8,1863,1898,,64.2,95.3,.415,.312,.529,56.2,47.0,10.7,10.7,.494,21.6,34.7,.279
113,Harvard NCAA,30,20,10,.667,3.95,0.16,11,3,13,1,6,8,2049,1924,,63.8,99.2,.310,.283,.524,53.7,48.8,9.7,9.9,.488,18.2,34.4,.225
114,Hawaii,32,17,15,.531,-1.73,-2.37,10,8,12,7,4,7,2336,2305,,69.7,102.9,.318,.373,.523,48.4,55.2,10.5,7.2,.491,14.8,32.4,.222
115,High Point,31,17,14,.548,-4.66,-7.25,12,4,10,5,6,8,2221,2052,,67.4,97.4,.397,.325,.508,50.3,51.1,8.7,7.0,.472,17.5,34.4,.264
116,Hofstra,32,7,25,.219,-10.76,-1.92,4,14,6,9,1,14,1873,2132,,64.9,101.8,.361,.330,.523,53.1,55.9,12.2,12.7,.484,17.2,37.4,.256
117,Holy Cross,30,12,18,.400,-6.14,-2.97,4,10,7,5,4,12,1834,1929,,62.3,102.8,.311,.362,.510,52.6,56.4,9.1,10.6,.477,13.5,32.8,.217
118,Houston Baptist,31,14,17,.452,-15.17,-8.03,3,5,7,5,3,12,1982,2080,,69.6,94.9,.409,.263,.508,52.3,48.1,13.2,9.6,.465,19.8,35.9,.285
119,Houston,33,20,13,.606,-0.30,-3.77,7,9,14,4,5,8,2578,2420,,70.1,101.9,.337,.332,.516,49.9,54.6,9.2,8.1,.484,15.8,34.1,.230
120,Howard,31,7,24,.226,-14.42,-5.35,4,12,5,7,2,13,1615,1868,,62.1,97.1,.368,.349,.505,52.8,52.9,10.7,8.4,.468,19.0,38.5,.250
121,Idaho State,30,6,24,.200,-12.98,-4.85,5,15,5,7,1,14,1710,1928,,60.4,105.5,.337,.385,.545,57.5,58.8,9.2,9.9,.517,17.8,38.0,.230
122,Idaho,30,12,18,.400,-2.19,0.33,7,11,6,8,6,8,2050,2079,,63.3,108.5,.306,.348,.536,48.5,47.1,10.5,8.5,.509,12.2,31.2,.209
123,Illinois-Chicago,34,18,16,.529,-1.78,-0.69,7,9,12,4,4,10,2136,2134,,63.8,97.4,.342,.340,.503,54.1,55.1,8.6,10.3,.462,16.9,34.6,.244
124,Illinois State,33,18,15,.545,9.63,3.72,8,10,11,5,5,8,2460,2265,,69.3,98.3,.340,.358,.519,52.6,54.4,9.0,6.7,.484,18.2,33.8,.238
125,Illinois NCAA,36,23,13,.639,13.23,10.08,8,10,12,4,6,6,2465,2332,,65.5,98.6,.358,.355,.521,53.4,53.3,8.4,9.1,.485,18.6,36.9,.251
126,Indiana State,33,18,15,.545,5.08,5.64,9,9,11,3,4,10,2159,2164,,65.3,98.9,.387,.310,.507,53.0,51.3,10.3,6.4,.466,15.8,32.6,.270
127,Indiana NCAA,36,29,7,.806,24.90,8.38,14,4,17,2,7,2,2831,2236,,67.1,91.9,.270,.327,.474,46.7,43.3,9.4,11.2,.440,17.8,34.0,.191
128,Iona NCAA,34,20,14,.588,4.04,-0.02,11,7,11,1,5,9,2733,2595,,70.5,105.5,.321,.349,.540,52.9,56.1,7.6,11.0,.516,16.5,37.4,.215
129,Iowa State NCAA,35,23,12,.657,14.50,6.13,11,7,16,1,4,7,2779,2486,,70.0,100.0,.327,.333,.518,48.8,53.8,9.3,8.5,.480,16.2,31.0,.237
130,Iowa,38,25,13,.658,14.22,6.93,9,9,18,2,3,8,2665,2388,,66.6,93.4,.311,.332,.480,48.9,51.8,10.3,10.7,.441,16.7,33.4,.220
131,Purdue-Fort Wayne,33,16,17,.485,-7.00,-5.32,7,9,10,4,4,10,2213,2178,,65.7,99.0,.368,.328,.540,49.8,47.6,9.5,7.8,.507,18.1,27.6,.255
132,IUPUI,32,6,26,.188,-15.93,-2.79,1,15,3,8,1,13,2096,2451,,66.2,113.9,.305,.316,.578,57.8,54.1,10.2,7.4,.547,14.9,36.5,.229
133,Jackson State,29,11,18,.379,-14.80,-9.52,9,9,6,3,4,14,1920,2073,,69.4,101.7,.393,.324,.530,56.8,47.8,8.9,10.2,.500,17.9,38.1,.258
134,Jacksonville State,28,17,11,.607,-4.48,-4.29,8,8,9,3,6,8,1857,1817,,63.8,100.8,.381,.269,.537,56.6,52.0,10.1,10.4,.494,20.8,43.7,.281
135,Jacksonville,32,14,18,.438,-10.47,-4.74,9,9,10,3,3,13,2181,2300,,69.3,102.0,.383,.329,.535,51.6,56.3,10.4,10.2,.498,17.9,34.6,.268
136,James Madison NCAA,36,21,15,.583,-1.73,-2.28,11,7,10,4,4,9,2346,2326,,64.1,100.0,.392,.341,.526,53.8,57.0,8.2,8.5,.487,18.1,34.5,.273
137,Kansas State NCAA,35,27,8,.771,13.53,6.53,14,4,15,1,7,3,2414,2115,,63.6,95.0,.360,.300,.504,49.4,51.7,8.7,8.9,.466,19.0,35.7,.248
138,Kansas NCAA,37,31,6,.838,20.79,7.54,14,4,16,1,7,3,2782,2292,,67.8,89.9,.320,.356,.456,47.4,50.6,10.4,7.4,.415,15.7,31.3,.220
139,Kennesaw State,30,3,27,.100,-15.40,-4.76,2,16,2,10,1,15,1831,2150,,64.5,108.9,.476,.313,.585,56.4,56.6,10.0,9.2,.555,18.6,38.2,.325
140,Kent State,35,21,14,.600,2.38,-0.83,9,7,12,6,8,7,2484,2373,,65.8,101.2,.405,.339,.524,51.8,57.7,8.9,10.7,.487,17.7,36.8,.277
141,Kentucky,33,21,12,.636,13.94,5.78,12,6,16,2,4,8,2396,2127,,66.8,95.8,.302,.284,.478,48.8,47.2,8.8,9.0,.439,14.9,33.5,.217
