,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Points Tm.,Points Opp.,Opponent Advanced Pace,Opponent Advanced ORtg,Opponent Advanced FTr,Opponent Advanced 3PAr,Opponent Advanced TS%,Opponent Advanced TRB%,Opponent Advanced AST%,Opponent Advanced STL%,Opponent Advanced BLK%,Opponent Advanced eFG%,Opponent Advanced TOV%,Opponent Advanced ORB%,Opponent Advanced FT/FGA
183,Minnesota,21,11,10,.524,15.27,11.18,5,6,9,2,1,7,1474,1388,67.1,97.3,.277,.305,.494,48.0,52.4,8.4,9.7,.460,14.8,28.4,.198
184,Mississippi State,20,13,7,.650,13.75,5.90,4,3,9,2,2,3,1460,1303,66.7,97.7,.295,.377,.505,43.9,50.1,10.5,7.8,.473,16.1,29.1,.206
185,Mississippi Valley State,19,1,18,.053,-30.08,-3.87,1,6,0,3,1,15,1261,1759,79.4,116.6,.345,.376,.573,58.4,62.2,8.6,8.0,.550,14.2,36.1,.234
186,Mississippi,20,10,10,.500,5.53,4.53,1,6,7,4,1,5,1376,1356,68.8,97.3,.395,.358,.526,50.1,53.7,9.8,10.3,.479,18.0,26.5,.291
187,Missouri-Kansas City,22,11,11,.500,-5.67,-0.20,3,4,7,2,2,7,1569,1489,68.4,96.8,.424,.338,.532,51.7,49.8,8.8,12.5,.478,19.4,27.9,.323
188,Missouri State,22,10,12,.455,0.27,0.37,4,5,7,3,2,7,1477,1479,68.2,98.6,.292,.392,.518,46.6,46.0,9.3,8.3,.486,15.4,24.4,.208
189,Missouri,20,10,10,.500,8.51,4.56,2,5,8,3,1,5,1331,1252,66.8,93.1,.401,.391,.510,49.3,51.6,8.8,11.2,.457,19.9,28.0,.301
190,Monmouth,20,12,8,.600,-5.26,-4.61,6,3,7,0,4,7,1398,1411,71.8,98.3,.409,.385,.534,52.9,51.0,8.3,8.5,.493,19.1,28.8,.289
191,Montana State,20,11,9,.550,-3.94,-1.94,5,4,5,3,4,6,1351,1318,69.0,95.5,.292,.402,.494,49.0,49.4,9.3,9.3,.460,14.2,24.3,.206
192,Montana,21,11,10,.524,-1.18,0.08,7,3,8,1,3,9,1455,1467,70.6,97.8,.420,.311,.527,52.5,47.3,9.2,7.5,.481,17.7,26.3,.302
193,Morehead State,22,10,12,.455,-10.68,-6.58,4,5,9,2,1,10,1538,1516,69.2,98.5,.279,.396,.510,49.3,48.9,8.3,13.0,.480,16.2,28.2,.195
194,Morgan State,23,11,12,.478,-12.49,-6.84,5,3,6,3,5,6,1623,1649,71.6,98.5,.509,.382,.519,48.0,50.9,9.5,7.3,.467,17.6,30.1,.355
195,Mount St. Mary's,21,9,12,.429,-7.16,-5.76,5,3,7,3,2,9,1345,1356,64.8,97.8,.278,.372,.512,49.0,52.4,8.5,10.2,.479,16.2,26.4,.200
196,Murray State,21,16,5,.762,1.74,-6.79,9,0,11,0,4,3,1633,1370,69.4,92.9,.326,.374,.501,44.1,47.7,8.3,10.1,.468,16.6,22.8,.221
197,Navy,20,12,8,.600,-4.94,-5.94,6,3,8,3,4,5,1285,1235,62.0,97.7,.262,.420,.517,45.8,55.8,9.3,13.2,.492,16.6,25.0,.178
198,Omaha,22,12,10,.545,-4.14,-0.10,5,2,10,0,2,9,1610,1676,70.5,106.8,.282,.395,.544,50.1,54.1,8.1,8.2,.516,14.3,28.5,.203
199,Nebraska,21,7,14,.333,4.07,7.35,2,8,5,6,0,7,1514,1583,72.0,102.3,.205,.391,.515,56.4,49.0,7.2,14.1,.497,16.1,34.0,.135
200,Nevada-Las Vegas,22,11,11,.500,4.98,3.11,6,3,9,5,2,5,1576,1535,66.2,101.9,.378,.446,.537,43.9,59.6,9.8,10.7,.493,15.5,24.4,.281
201,Nevada,22,13,9,.591,8.83,4.69,6,4,9,2,1,6,1676,1585,71.6,100.6,.383,.413,.508,49.1,49.9,6.0,7.3,.463,13.1,25.7,.274
202,New Hampshire,20,10,10,.500,-8.80,-6.08,3,4,7,2,3,8,1384,1315,71.0,91.4,.345,.382,.493,45.0,44.2,9.3,7.3,.458,16.4,19.6,.231
203,New Mexico State,22,16,6,.727,2.95,-2.30,7,0,8,1,5,3,1558,1333,65.8,91.6,.309,.363,.521,44.6,47.6,10.0,7.2,.482,20.3,22.2,.232
204,New Mexico,23,16,7,.696,3.07,0.80,5,5,13,1,2,5,1817,1746,73.8,102.9,.236,.433,.540,49.5,60.1,9.9,6.9,.520,17.2,30.4,.159
205,New Orleans,21,6,15,.286,-13.39,-1.39,2,9,5,6,1,9,1593,1615,73.6,104.5,.369,.335,.578,51.7,56.2,9.0,9.9,.543,20.3,31.0,.271
206,Niagara,19,6,13,.316,-10.43,-2.16,4,4,4,2,2,11,1265,1422,67.4,110.2,.271,.421,.568,59.1,61.5,7.4,9.3,.541,17.7,36.4,.199
207,Nicholls State,22,14,8,.636,-3.71,-3.88,8,3,8,1,5,6,1683,1494,73.8,91.0,.381,.351,.513,50.9,54.0,9.4,6.9,.474,22.7,32.1,.266
208,NJIT,21,7,14,.333,-10.22,-4.72,4,4,4,4,3,10,1356,1438,67.2,101.9,.310,.370,.541,51.0,52.4,7.9,9.2,.509,16.1,25.6,.222
209,Norfolk State,21,10,11,.476,-6.56,-5.79,6,0,7,2,2,8,1474,1357,69.3,92.6,.371,.409,.508,48.2,62.2,8.3,8.2,.461,20.0,27.9,.272
210,North Alabama,21,10,11,.476,-8.30,-4.93,5,3,7,2,3,9,1434,1439,70.7,96.8,.388,.322,.515,49.8,42.3,7.8,10.1,.478,17.6,27.7,.264
211,North Carolina-Asheville,20,9,11,.450,-8.52,-7.47,3,6,5,5,4,6,1527,1480,72.1,102.0,.395,.297,.582,54.3,51.4,6.6,7.8,.561,22.3,29.8,.261
212,North Carolina A&T,22,10,12,.455,-9.63,-4.44,6,1,6,1,3,9,1553,1600,74.8,96.2,.403,.407,.502,51.6,52.8,9.0,8.4,.468,18.0,31.3,.259
213,North Carolina Central,20,8,12,.400,-11.29,-5.05,4,2,6,0,2,12,1348,1304,70.3,92.2,.321,.397,.507,51.3,49.8,9.3,7.8,.473,22.3,33.3,.223
214,North Carolina-Greensboro,22,17,5,.773,7.90,-1.00,7,2,10,3,7,2,1614,1306,68.5,85.7,.381,.404,.508,47.4,47.9,8.4,6.5,.475,24.5,25.8,.250
215,North Carolina State,21,14,7,.667,11.08,4.70,5,5,11,2,3,4,1570,1436,70.0,97.1,.346,.346,.512,50.3,46.7,8.9,9.5,.478,17.5,29.4,.238
216,North Carolina-Wilmington,23,7,16,.304,-10.32,-0.27,2,8,5,6,1,9,1603,1668,69.9,102.6,.286,.380,.533,51.9,48.9,8.9,6.9,.507,16.3,29.2,.197
217,North Carolina,20,10,10,.500,8.83,8.03,3,6,5,5,2,4,1431,1415,70.4,98.6,.272,.429,.514,43.9,54.0,10.0,8.9,.482,14.2,22.2,.198
218,North Dakota State,22,15,7,.682,0.55,-3.85,6,2,9,1,5,5,1609,1427,67.6,96.0,.247,.317,.514,47.3,38.3,7.3,8.9,.483,14.6,18.1,.183
219,North Dakota,23,10,13,.435,-6.60,-1.30,4,5,6,1,3,11,1738,1695,71.0,103.8,.282,.321,.533,47.2,46.0,10.0,8.7,.503,13.7,24.6,.203
220,North Florida,23,13,10,.565,-1.81,-0.90,6,2,8,1,4,8,1779,1714,70.7,105.3,.278,.260,.534,50.7,53.6,8.7,10.4,.507,14.5,30.4,.195
221,North Texas,22,14,8,.636,8.79,2.54,8,1,10,2,4,4,1567,1365,65.9,94.1,.399,.370,.514,47.0,48.6,11.1,10.5,.469,19.4,26.8,.285
222,Northeastern,22,11,11,.500,2.32,-3.59,5,5,4,5,6,4,1596,1466,66.5,99.6,.307,.366,.540,49.3,40.1,8.2,6.8,.511,17.1,24.0,.215
223,Northern Arizona,18,11,7,.611,-2.70,-1.39,5,4,6,2,4,5,1301,1212,68.4,98.5,.294,.359,.540,48.8,49.2,8.6,7.5,.508,18.4,25.0,.214
224,Northern Colorado,20,13,7,.650,4.41,-2.48,6,3,8,1,3,5,1486,1251,66.7,92.7,.241,.244,.498,48.4,32.5,6.8,11.4,.472,15.9,22.3,.165
225,Northern Illinois,21,12,9,.571,-2.31,-2.86,5,3,7,3,5,6,1410,1351,67.4,95.5,.278,.435,.495,46.5,51.3,8.1,9.2,.459,15.0,24.4,.201
226,Northern Iowa,21,18,3,.857,11.94,2.73,7,2,12,0,5,2,1622,1366,66.7,96.3,.248,.372,.500,44.6,40.4,10.8,6.6,.475,14.3,23.6,.166
227,Northern Kentucky,21,14,7,.667,1.32,-3.42,6,3,8,2,6,5,1550,1380,69.1,94.0,.295,.341,.492,50.1,54.0,8.2,6.8,.465,18.0,31.0,.192
228,Northwestern State,19,8,11,.421,-12.58,-5.08,5,5,5,3,3,8,1380,1426,74.4,100.3,.401,.359,.509,48.6,56.5,11.7,6.4,.461,15.4,30.0,.290
229,Northwestern,20,6,14,.300,5.58,8.23,1,9,4,7,1,6,1310,1363,66.9,101.9,.283,.418,.521,51.5,65.9,8.8,9.3,.487,14.7,27.9,.208
230,Notre Dame,20,12,8,.600,10.91,2.96,3,6,10,3,2,4,1532,1373,70.0,97.4,.196,.361,.496,49.9,52.5,7.7,8.6,.475,15.6,29.2,.133
231,Oakland,22,7,15,.318,-6.67,-1.10,2,7,3,5,2,8,1424,1513,67.1,101.3,.255,.468,.519,50.0,61.5,10.9,8.7,.494,15.9,29.8,.175
232,Ohio State,20,13,7,.650,18.95,7.35,3,6,9,2,2,4,1461,1229,67.7,90.8,.304,.373,.472,45.8,46.7,7.0,8.4,.441,16.2,26.4,.198
233,Ohio,21,10,11,.476,-2.31,-0.21,2,6,6,5,3,4,1497,1460,68.5,101.5,.307,.378,.534,48.6,46.9,9.3,7.4,.495,16.3,26.4,.235
234,Oklahoma State,20,10,10,.500,10.37,8.82,0,7,5,6,3,3,1332,1301,69.1,94.1,.315,.462,.504,50.1,60.9,9.0,9.8,.464,18.5,27.9,.231
235,Oklahoma,20,13,7,.650,11.35,8.20,3,4,8,1,2,5,1418,1355,70.4,96.2,.210,.439,.493,51.2,47.0,8.2,6.7,.466,14.5,26.1,.151
236,Old Dominion,22,9,13,.409,0.15,0.24,5,4,7,3,2,7,1398,1400,67.2,94.7,.362,.453,.511,46.4,55.9,7.1,9.9,.473,17.1,22.2,.253
237,Oral Roberts,21,11,10,.524,1.67,0.37,4,4,8,1,3,9,1651,1510,71.2,101.1,.278,.392,.536,46.8,52.1,7.0,9.0,.510,16.5,26.5,.193
238,Oregon State,21,13,8,.619,8.98,3.08,3,6,8,3,3,4,1557,1433,68.0,100.4,.310,.364,.528,50.1,54.7,8.3,8.7,.492,16.8,28.5,.228
239,Oregon,22,18,4,.818,18.14,8.19,7,2,12,0,4,2,1707,1488,67.0,97.6,.303,.410,.502,48.4,50.2,6.0,9.8,.463,16.6,31.5,.223
240,Pacific,24,16,8,.667,2.56,-0.63,4,4,11,3,4,4,1685,1555,65.5,95.4,.399,.383,.522,43.5,42.2,8.3,6.1,.480,16.8,20.4,.282
241,Penn State,20,15,5,.750,16.66,6.51,5,4,11,1,2,3,1539,1336,72.5,92.1,.334,.343,.485,49.1,50.6,7.7,7.4,.446,17.6,28.5,.231
242,Pennsylvania,15,8,7,.533,0.80,1.52,0,2,3,2,3,4,1142,1104,73.9,99.5,.264,.296,.512,50.6,42.8,10.6,8.6,.483,14.7,27.0,.185
243,Pepperdine,22,11,11,.500,1.52,2.52,4,4,7,3,4,5,1698,1720,72.5,107.2,.359,.373,.570,51.4,59.7,9.0,7.8,.540,17.1,28.7,.256
244,Pittsburgh,21,13,8,.619,8.97,5.45,4,6,9,4,2,4,1395,1321,65.5,95.5,.248,.402,.504,50.8,56.3,8.0,9.8,.478,20.0,34.4,.170
245,Portland State,23,11,12,.478,-2.73,-1.97,5,6,7,2,3,10,1786,1724,72.0,104.1,.300,.301,.549,47.7,56.8,7.7,7.4,.520,17.5,31.9,.214
