Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
44,Memphis,AAC,,,15,5,73.7,63.6,10.10,,2.95,,5.90,7.15,13.05,100.97,83.14,17.83
45,Cincinnati,AAC,,,13,7,72.7,64.9,7.80,,5.17,,5.91,7.06,12.97,107.69,87.95,19.74
46,Virginia Commonwealth,A-10,,,16,5,72.7,62.4,10.33,,2.35,,5.07,7.62,12.69,105.80,86.53,19.27
47,Alabama,SEC,,,12,8,82.5,77.3,5.20,,7.28,,14.81,-2.33,12.48,109.21,90.85,18.36
48,Syracuse,ACC,,,13,8,73.2,66.2,7.00,,5.28,,7.60,4.69,12.28,112.93,94.15,18.79
49,Georgetown,Big East,,,12,9,77.3,73.0,4.24,,7.73,,10.60,1.37,11.97,111.21,93.47,17.74
50,Northern Iowa,MVC,,,18,3,77.2,65.0,12.19,,2.73,,7.57,4.37,11.94,113.95,94.87,19.09
51,Tennessee,SEC,,,12,8,66.2,60.0,6.20,,5.69,,-0.76,12.65,11.89,103.24,85.05,18.19
52,Texas Christian,Big 12,,,13,7,69.0,63.1,5.95,,6.43,,2.43,9.16,11.59,107.34,89.76,17.58
53,Oklahoma,Big 12,,,13,7,70.9,67.8,3.15,,8.20,,6.28,5.07,11.35,107.07,89.96,17.12
54,Xavier,Big East,,,13,8,71.8,67.9,3.86,,7.38,,3.95,7.29,11.24,104.67,87.94,16.72
55,North Carolina State,ACC,,,14,7,74.8,68.4,6.38,,4.70,,7.88,3.19,11.08,110.90,94.12,16.78
56,Southern California,Pac-12,,,17,4,73.0,66.7,6.33,,4.74,,5.18,5.89,11.07,104.68,87.50,17.18
57,Virginia,ACC,,,14,6,56.3,50.7,5.55,,5.38,,-10.96,21.89,10.93,97.29,79.39,17.90
58,Notre Dame,ACC,,,12,8,76.6,68.7,7.95,,2.96,,7.25,3.66,10.91,110.20,93.57,16.64
59,Iowa State,Big 12,,,9,11,75.1,72.2,2.85,,7.88,,9.21,1.51,10.73,110.28,94.73,15.55
60,Virginia Tech,ACC,,,14,7,70.9,63.3,7.52,,3.08,,1.73,8.87,10.60,107.81,91.54,16.27
61,Arizona State,Pac-12,,,12,8,72.4,68.6,3.75,,6.82,,4.94,5.63,10.57,101.81,86.73,15.08
62,Rhode Island,A-10,,,15,5,74.2,68.3,5.90,,4.63,,5.94,4.60,10.53,105.33,89.05,16.28
63,Oklahoma State,Big 12,,,10,10,66.6,65.1,1.55,,8.82,,1.77,8.60,10.37,103.12,87.30,15.82
64,Clemson,ACC,,,11,9,68.4,65.3,3.10,,6.95,,1.51,8.54,10.05,104.83,89.55,15.28
65,St. John's (NY),Big East,,,13,9,74.8,69.5,5.27,,4.72,,7.39,2.60,9.99,103.44,89.28,14.17
66,DePaul,Big East,,,13,8,73.6,68.4,5.19,,5.97,,5.62,4.34,9.97,103.77,88.72,15.05
67,Providence,Big East,,,11,10,70.8,66.7,4.10,,5.77,,3.53,6.33,9.86,104.52,89.95,14.57
68,Texas,Big 12,,,13,7,66.0,63.4,2.55,,6.98,,0.29,9.24,9.53,104.33,89.28,15.06
69,Connecticut,AAC,,,11,9,71.2,65.1,6.05,,3.45,,3.38,6.12,9.50,103.47,88.40,15.07
70,Utah,Pac-12,,,12,8,74.2,71.2,3.05,,6.18,,5.87,3.36,9.23,108.48,96.23,12.25
71,Richmond,A-10,,,15,6,75.8,69.8,6.00,,3.15,,6.25,2.90,9.15,109.35,94.50,14.85
72,Oregon State,Pac-12,,,13,8,74.1,68.2,5.90,,3.08,,5.58,3.40,8.98,111.03,97.19,13.84
73,Pittsburgh,ACC,,,13,8,66.4,62.9,3.52,,5.45,,-0.39,9.37,8.97,105.02,91.09,13.93
74,Nevada,MWC,,,13,9,76.2,72.0,4.14,,4.69,,7.71,1.11,8.83,108.62,95.31,13.31
75,North Carolina,ACC,,,10,10,71.6,70.8,0.80,,8.03,,6.37,2.47,8.83,104.37,91.19,13.18
76,Georgia Tech,ACC,,,10,11,67.8,66.6,1.19,,8.95,,1.03,7.77,8.80,100.38,86.74,13.64
77,North Texas,CUSA,,,14,8,71.2,62.0,9.18,,2.54,,0.48,8.31,8.79,109.39,95.30,14.09
78,Kansas State,Big 12,,,9,11,65.6,63.4,2.15,,6.55,,-0.26,8.96,8.70,102.06,88.42,13.63
79,Tulsa,AAC,,,14,6,71.3,64.3,7.00,,1.60,,0.78,7.82,8.60,103.90,89.39,14.51
80,Southern Methodist,AAC,,,15,5,74.9,67.2,7.70,,0.88,,4.85,3.73,8.58,112.83,98.87,13.97
81,South Carolina,SEC,,,12,8,71.2,67.3,3.95,,4.61,,5.79,2.77,8.56,104.54,91.20,13.34
82,Missouri,SEC,,,10,10,66.6,62.6,3.95,,4.56,,0.06,8.45,8.51,103.29,89.87,13.42
83,Boise State,MWC,,,14,8,79.3,70.8,8.55,,3.10,,8.79,-0.40,8.39,108.78,96.00,12.79
84,Akron,MAC (East),,,16,5,77.3,65.9,11.38,,-0.70,,6.85,1.51,8.36,108.31,94.59,13.72
85,Saint Louis,A-10,,,16,5,71.2,65.0,6.24,,2.35,,2.14,6.10,8.25,103.35,90.16,13.18
86,Georgia,SEC,,,11,9,76.4,74.7,1.65,,6.56,,8.64,-0.50,8.14,108.47,96.19,12.28
87,Louisiana Tech,CUSA,,,16,5,75.2,61.0,14.14,,-2.98,,1.69,6.44,8.12,106.54,92.49,14.06
88,San Francisco,WCC,,,16,7,77.2,69.3,7.91,,2.05,,7.59,0.42,8.01,110.85,98.35,12.51
89,North Carolina-Greensboro,Southern,,,17,5,73.4,59.4,14.00,,-1.00,,-0.95,8.85,7.90,101.22,88.12,13.10
90,Yale,Ivy,,,14,4,75.7,62.7,13.00,,-0.26,,1.71,5.97,7.68,102.05,89.57,12.48
